lapNo,No,gap,time,,,,,,,,,,,,
24,27,PIT,1:16.413,,,,,,,,,,,,
24,88,40.630,1:12.352,,,,,,,,,,,,
24,20,43.439,1:12.050,,,,,,,,,,,,
24,19,45.149,1:11.659,,,,,,,,,,,,
24,30,46.342,1:11.981,,,,,,,,,,,,
24,9,52.092,1:11.957,,,,,,,,,,,,
24,21,57.393,1:11.351,,,,,,,,,,,,
25,5,0,1:11.619,,,,,,,,,,,,
25,94,1 LAP,1:34.476,,,,,,,,,,,,
25,6,2.882,1:10.053,,,,,,,,,,,,
25,44,7.920,1:10.081,,,,,,,,,,,,
25,33,9.635,1:10.575,,,,,,,,,,,,
25,3,13.044,1:10.595,,,,,,,,,,,,
25,7,15.429,1:11.013,,,,,,,,,,,,
25,22,29.974,1:11.600,,,,,,,,,,,,
25,8,31.120,1:13.414,,,,,,,,,,,,
25,77,32.779,1:11.953,,,,,,,,,,,,
25,12,35.783,1:12.027,,,,,,,,,,,,
25,14,36.412,1:12.187,,,,,,,,,,,,
25,11,38.216,1:11.789,,,,,,,,,,,,
25,55,39.091,1:12.302,,,,,,,,,,,,
25,88,40.983,1:11.972,,,,,,,,,,,,
25,20,43.830,1:12.010,,,,,,,,,,,,
25,19,45.146,1:11.616,,,,,,,,,,,,
25,30,46.715,1:11.992,,,,,,,,,,,,
25,9,52.602,1:12.129,,,,,,,,,,,,
25,27,57.774,1:28.764,,,,,,,,,,,,
25,21,58.283,1:12.509,,,,,,,,,,,,
26,5,0,1:11.930,,,,,,,,,,,,
26,6,1.215,1:10.263,,,,,,,,,,,,
26,94,1 LAP,1:12.831,,,,,,,,,,,,
26,44,5.955,1:09.965,,,,,,,,,,,,
26,33,8.060,1:10.355,,,,,,,,,,,,
26,3,11.597,1:10.483,,,,,,,,,,,,
26,7,14.110,1:10.611,,,,,,,,,,,,
26,77,39.551,1:18.702,,,,,,,,,,,,
26,22,PIT,1:22.704,,,,,,,,,,,,
